Cycle_Index,DischargeTime(s),Decrement3.6-3.4V(s),Max.VoltageDischar.(V),Min.Voltage Charg.(V),Time_at4.15V(s),Time_constant_current(s),Charging_time(s),RUL
445.0,1724.87,516.0,3.959,3.521,3493.151999999769,4400.35,8241.89,668
446.0,1722.26,514.0,3.958,3.522,3488.313000000082,4400.31,8224.22,667
447.0,1720.16,513.4285714281723,3.958,3.522,3482.343999999576,4364.34,8208.67,666
448.0,1718.34,512.0,3.957,3.522,3471.5429999995977,4364.34,8215.94,665
449.0,1716.73,513.0,3.958,3.523,3470.35899999924,4364.36,8200.77,664
450.0,1714.41,510.8571428572759,3.957,3.522,3464.35899999924,4364.36,8205.06,663
451.0,1711.11,508.0,3.957,3.523,3452.328000000678,4364.33,8187.42,662
452.0,1709.41,506.5714285718277,3.957,3.523,3440.39100000076,4328.39,8212.55,661
453.0,1706.3,506.0,3.957,3.524,3434.2180000003427,4328.22,8197.09,660
454.0,1693.76,502.80449999962,3.958,3.729,3318.375,4270.02,8380.2,659
455.0,1725.02,508.0,3.949,3.829,3154.848000000231,4148.45,8557.54,658
456.0,1727.49,512.0,3.953,3.527,3506.384000000544,4400.38,8314.59,657
457.0,1725.63,510.0,3.954,3.526,3512.354000000283,4400.35,8290.72,656
458.0,1723.36,510.0,3.954,3.526,3506.319000001065,4400.32,8268.35,655
459.0,1719.68,508.7142857145518,3.953,3.526,3500.35599999968,4400.36,8225.7,654
460.0,1717.18,509.0,3.954,3.526,3488.3209999995306,4364.32,8230.5,653
461.0,1713.63,507.4285714281723,3.954,3.526,3478.7519999993965,4364.35,8211.36,652
462.0,1710.5,505.0,3.953,3.527,3464.320000000298,4364.32,8225.12,651
463.0,1707.13,504.0,3.953,3.528,3457.121000000276,4328.32,8192.87,650
464.0,1705.92,503.9845000002533,3.953,3.528,3442.751000000164,4328.35,8207.45,649
465.0,1703.94,502.8571428572759,3.953,3.529,3440.351999999024,4328.35,8193.48,648
466.0,1701.44,503.0,3.953,3.528,3434.2890000008047,4328.29,8182.88,647
467.0,1699.14,500.5714285718277,3.953,3.529,3422.321000000462,4328.32,8159.24,646
468.0,1697.25,502.0,3.952,3.53,3416.3520000008866,4292.35,8180.1,645
469.0,1695.97,499.2857142854482,3.952,3.529,3410.360000000336,4292.36,8181.86,644
470.0,1767.97,563.0,3.954,3.529,3413.9589999988675,4328.36,8086.31,643
471.0,1760.88,559.0,3.951,3.492,3629.9599999999614,4544.36,8339.56,642
472.0,1753.88,554.0,3.949,3.495,3602.3909999988973,4508.39,8357.22,641
473.0,1678.66,493.7142857145518,3.948,3.498,3536.343999999576,4436.34,8441.59,640
474.0,1678.75,490.2857142854482,3.949,3.533,3344.360000000336,4220.36,8132.55,639
475.0,1681.25,494.0,3.95,3.532,3350.3899999996647,4256.39,8142.98,638
476.0,1675.52,490.2857142854482,3.949,3.532,3356.311999999918,4256.31,8123.64,637
477.0,1672.7,489.0,3.949,3.532,3338.328000000678,4220.33,8108.33,636
479.0,1625.86,468.8571428572759,3.939,4.053,302.3519999999553,1124.35,5277.63,634
480.0,1636.25,473.1428571427241,3.945,3.544,3176.3199999993667,4076.32,8085.09,633
481.0,1636.58,474.4285714281723,3.947,3.541,3206.287000000477,4076.29,8071.55,632
482.0,1635.81,474.4285714281723,3.947,3.54,3206.321000000462,4076.32,8070.05,631
483.0,1634.79,471.4285714281723,3.947,3.54,3200.351999999956,4076.35,8050.24,630
484.0,1633.18,472.0,3.947,3.54,3197.919999999925,4076.32,8088.03,629
485.0,1632.26,473.1428571427241,3.947,3.54,3190.751000000164,4076.38,8076.51,628
486.0,1629.89,474.0,3.947,3.54,3188.3240000000224,4076.32,8055.01,627
487.0,1627.68,471.8571428572759,3.946,3.54,3176.3209999995306,4076.32,8079.61,626
488.0,1625.63,470.5714285718277,3.946,3.541,3169.121000000276,4040.32,8056.26,625
489.0,1623.46,469.0,3.945,3.542,3161.950999999419,4040.35,8035.39,624
490.0,1622.49,469.2857142854482,3.945,3.542,3158.351999999956,4040.35,8045.76,623
491.0,1620.49,468.0,3.945,3.542,3152.36233333312,4040.35,8036.35,622
492.0,1619.49,468.0,3.945,3.543,3146.3829999994487,4040.38,8055.36,621
493.0,1617.12,466.7142857145518,3.945,3.542,3140.23399999924,4040.23,8013.61,620
494.0,1615.2,466.7142857145518,3.945,3.542,3134.3120000008494,4004.31,8035.83,619
495.0,1612.7,465.4285714281723,3.944,3.544,3128.473666666076,4004.48,8029.22,618
496.0,1610.78,464.1428571427241,3.944,3.543,3122.218999999576,4004.25,8031.55,617
497.0,1608.36,462.8571428572759,3.943,3.543,3116.35899999924,4004.36,8032.36,616
498.0,1606.06,459.8571428572759,3.943,3.544,3110.360000000336,4004.36,8019.17,615
499.0,1605.64,459.8571428572759,3.944,3.546,3104.3590000011027,3968.36,8021.73,614
500.0,1604.16,459.8394285719842,3.944,3.545,3098.360000000336,3968.36,8013.7,613
501.0,1602.95,461.0,3.944,3.545,3097.1749999998137,3968.38,8050.02,612
502.0,1585.98,460.8130000010133,3.941,3.755,2940.3429999994114,3884.98,8225.38,611
503.0,196104.06,183357.5633333325,4.256,3.315,62039.99600000028,73443.4,73443.4,610
504.0,1635.42,466.7142857145518,3.932,3.516,3903.5520000001416,4976.35,10009.7,609
505.0,1645.38,471.0,3.938,3.559,3226.752000000328,4112.35,8262.91,608
506.0,1648.0,471.8571428572759,3.939,3.556,3260.3849999997765,4148.38,8176.8,607
507.0,1646.34,470.1428571427241,3.94,3.555,3266.348999999464,4148.35,8140.45,606
508.0,1645.54,472.0,3.941,3.555,3260.3520000008866,4148.35,8123.23,605
509.0,1642.98,472.0,3.941,3.554,3255.556000000797,4112.36,8074.56,604
510.0,1640.45,469.0,3.94,3.554,3248.25800000038,5576.71,8031.84,603
511.0,1638.66,469.0,3.941,3.554,3236.2270000008866,4112.23,8120.96,602
512.0,1636.39,470.1428571427241,3.941,3.553,3230.3199999993667,4112.32,8103.84,601
513.0,1633.57,467.1428571427241,3.94,3.553,3219.511999999173,4112.31,8109.85,600
514.0,1630.82,468.0,3.941,3.553,3206.3509999997914,4076.35,8086.11,599
515.0,1628.38,465.8571428572759,3.941,3.552,3200.25,4076.25,8089.82,598
516.0,1625.89,465.8571428572759,3.941,3.552,3188.226999999024,4076.23,8068.96,597
517.0,1623.88,467.5714285718277,3.941,3.553,3182.3829999994487,4040.38,8070.71,596
518.0,1621.17,466.0,3.94,3.552,3176.35899999924,4040.36,8069.28,595
519.0,1618.84,463.2857142854482,3.94,3.552,3170.311999999918,4040.31,8100.16,594
520.0,1615.81,462.0,3.94,3.552,3158.26600000076,4040.27,8078.75,593
521.0,1699.23,520.0,3.942,3.552,3152.360000000336,4040.36,8007.17,592
522.0,1690.41,516.0,3.939,3.517,3404.375,4292.38,8296.06,591
523.0,1685.5,514.0,3.938,3.521,3374.343999998644,4256.34,8277.34,590
524.0,1683.02,513.0,3.937,3.521,3356.344000000506,4256.34,8309.28,589
525.0,1680.7,511.7142857145518,3.937,3.522,3349.128000000492,4220.33,8294.41,588
526.0,1679.05,510.0,3.936,3.523,3338.25,4220.25,8308.0,587
527.0,1643.59,504.0,3.921,3.729,3157.375,4116.0,8579.94,586
528.0,1657.81,502.0,3.92,3.83,3068.344000000506,4004.34,8411.72,585
529.0,1672.72,510.0,3.928,3.534,3260.25,4148.25,8310.75,584
530.0,1679.19,512.0,3.933,3.527,3313.144000001252,4184.34,8300.0,583
531.0,1679.25,513.0,3.933,3.523,3332.375,4220.38,8280.97,582
532.0,1678.75,510.0,3.935,3.522,3334.712999999523,4220.31,8313.16,581
533.0,1675.75,510.8571428563446,3.934,3.523,3332.3430000003427,4220.34,8278.72,580
534.0,1672.69,508.0,3.934,3.522,3326.18799999915,4220.19,8281.41,579
535.0,1669.84,508.0,3.934,3.523,3314.31299999915,4184.31,8302.81,578
536.0,1667.25,506.0,3.934,3.523,3302.3430000003427,4184.34,8302.28,577
537.0,1664.78,504.0,3.934,3.524,3296.375,4184.38,8268.09,576
