Cycle_Index,DischargeTime(s),Decrement3.6-3.4V(s),Max.VoltageDischar.(V),Min.Voltage Charg.(V),Time_at4.15V(s),Time_constant_current(s),Charging_time(s),RUL
223.0,1986.75,658.7999999998137,3.987,3.461,4349.950999999419,5300.35,8650.37,890
224.0,1985.02,656.7999999998137,3.987,3.461,4340.38300000038,5264.38,8667.87,889
225.0,1982.75,656.7999999998137,3.988,3.461,4334.344000000507,5264.34,8624.83,888
226.0,1981.09,656.7999999998137,3.988,3.461,4328.328999999911,5264.33,8654.41,887
227.0,1978.81,654.0,3.987,3.462,4321.12799999956,5264.36,8622.47,886
228.0,1976.89,655.2000000001863,3.987,3.461,4313.958999999799,5264.36,8656.77,885
229.0,1974.08,652.0,3.987,3.462,4306.713000000455,5228.31,8620.47,884
230.0,1972.78,652.0,3.987,3.462,4299.512000000104,5228.31,8642.33,883
231.0,1971.36,653.5999999996275,3.987,3.482,4292.344000000507,5228.34,8640.55,882
232.0,1969.59,651.5999999996275,3.987,3.463,4286.343999999575,5228.34,8621.08,881
233.0,1968.67,651.5999999996275,3.987,3.463,4280.343999999575,5228.34,8648.67,880
234.0,1966.28,650.0,3.987,3.463,4277.94299999997,5228.34,8596.86,879
235.0,1962.97,640.811999999918,3.994,3.702,4214.280999999493,5172.98,8750.0,878
236.0,1962.94,640.0,3.981,3.781,4184.343999999575,5120.34,8671.41,877
237.0,1969.38,648.0,3.986,3.469,4263.512000000104,5192.31,8630.66,876
238.0,1968.06,652.0,3.986,3.464,4280.375,5228.38,8619.94,875
239.0,1966.09,648.0,3.986,3.464,4277.925400000066,5228.31,8622.12,874
240.0,1963.03,646.4000000003725,3.986,3.464,4270.7750000003725,5192.38,8609.84,873
241.0,1961.22,644.4000000003725,3.986,3.464,4262.311999999918,5192.31,8647.53,872
242.0,1958.5,644.7999999998137,3.985,3.465,4256.406000000425,5192.41,8616.53,871
243.0,1956.41,642.0,3.985,3.466,4244.343999999575,5192.34,8615.66,870
244.0,1955.03,640.7999999998137,3.986,3.466,4238.343000000343,5156.34,8619.97,869
245.0,1953.62,642.0,3.986,3.465,4232.313000000082,5156.31,8601.12,868
246.0,1951.09,643.2319999998435,3.986,3.466,4227.513000000268,5156.31,8593.88,867
247.0,1950.19,639.2000000001863,3.985,3.466,4220.313000000082,5156.31,8615.75,866
