Cycle_Index,DischargeTime(s),Decrement3.6-3.4V(s),Max.VoltageDischar.(V),Min.Voltage Charg.(V),Time_at4.15V(s),Time_constant_current(s),Charging_time(s),RUL
668.0,1488.55,428.5714285708964,3.903,3.571,2732.3280000016093,3572.33,8036.33,445
669.0,1486.75,430.2857142854482,3.903,3.572,2726.3279999997467,3572.33,8051.05,444
670.0,1484.8,427.2857142854482,3.903,3.573,2720.31299999915,3572.31,8025.56,443
671.0,1482.98,427.1999999992549,3.903,3.573,2714.35899999924,3572.36,8053.77,442
672.0,1440.22,430.7970000002533,3.884,3.764,2492.281000001356,3430.02,8405.56,441
673.0,1454.5,422.0571428555995,3.885,3.879,2391.5429999995977,3320.34,8164.44,440
674.0,1465.78,425.2185999993235,3.89,3.584,2606.31299999915,3464.31,8108.56,439
675.0,1474.34,427.1999999992549,3.895,3.581,2648.2809999994934,3500.28,8062.22,438
676.0,1472.66,426.0,3.896,3.578,2672.31299999915,3536.31,8042.94,437
677.0,1474.47,425.4857142847032,3.897,3.582,2666.31299999915,3500.31,8029.16,436
678.0,1474.0,424.2857142854482,3.897,3.577,2672.281000001356,3536.28,8051.88,435
679.0,1473.09,426.5266857147217,3.896,3.578,2672.344000000506,3500.34,8036.84,434
680.0,1472.38,423.0,3.897,3.577,2672.343999998644,3536.34,8033.84,433
681.0,1468.38,423.4285714291036,3.896,3.578,2666.375,3500.38,8018.59,432
682.0,1469.06,421.7142857145518,3.897,3.579,2654.219000000506,3500.22,8027.91,431
683.0,1467.44,421.7142857145518,3.897,3.578,2660.344000000506,3500.34,8032.88,430
684.0,1465.06,420.0,3.897,3.578,2654.344000000506,3500.34,8008.81,429
685.0,1463.72,421.5,3.897,3.579,2648.2180000003427,3500.22,8015.53,428
686.0,1462.69,421.7142857145518,3.898,3.579,2643.5120000001043,3500.31,8014.78,427
687.0,1462.16,421.7142857145518,3.897,3.58,2642.25,3500.25,8003.38,426
688.0,1462.28,421.7142857145518,3.897,3.581,2636.31299999915,3464.31,8019.66,425
689.0,1460.62,420.4285714291036,3.897,3.58,2630.344000000506,3464.34,8000.41,424
690.0,1459.75,418.62857142835855,3.896,3.581,2624.3430000003427,3464.34,8004.0,423
691.0,1457.81,419.1428571436554,3.897,3.58,2624.375,3464.38,8038.5,422
692.0,1454.94,416.1428571436554,3.897,3.581,2618.375,3464.38,7986.59,421
693.0,1453.81,417.0,3.896,3.581,2612.344000000506,3464.34,8050.72,420
694.0,1452.91,417.2571428567171,3.896,3.581,2606.281000001356,3428.28,8034.41,419
695.0,1451.94,415.5,3.896,3.582,2606.31299999915,3428.31,8049.38,418
696.0,1413.25,422.4069999996573,3.878,3.769,2394.343999998644,3325.0,8388.0,417
697.0,189082.15,174964.38099999912,4.241,3.34,57809.98000000045,69138.08,69138.08,416
698.0,1393.18,389.4000000003725,3.885,3.598,2580.3199999984354,4600.38,10252.38,415
699.0,1407.39,391.1999999992549,3.9,3.618,2510.351999999956,3320.35,7949.47,414
700.0,1410.59,390.9000000003725,3.904,3.613,2558.3820000011474,3356.38,7853.76,413
701.0,1409.44,390.30000000074506,3.906,3.612,2569.4948571436107,3356.35,7777.79,412
702.0,1406.34,388.80000000074506,3.906,3.611,2564.2220000009984,3356.22,7750.91,411
703.0,1402.72,388.80000000074506,3.907,3.612,2552.351999999956,3356.35,7755.65,410
704.0,1401.22,388.80000000074506,3.907,3.611,2540.3560000024736,3356.36,7743.14,409
705.0,1398.69,386.4000000003725,3.907,3.611,2528.3120000008494,3320.31,7762.3,408
706.0,1380.38,382.5,3.903,3.611,2516.226999999956,3320.23,7723.14,407
707.0,1369.63,380.3805000018328,3.9,3.615,2450.320000000298,3248.32,7685.12,406
708.0,1366.11,379.5,3.9,3.617,2414.3209999986,3212.32,7691.17,405
709.0,1365.63,377.08062499947846,3.9,3.616,2402.3209999986,3212.32,7764.99,404
710.0,1362.88,378.1714285705239,3.899,3.616,2396.2579999994487,3212.26,7720.03,403
711.0,1361.54,377.4857142847032,3.899,3.616,2390.226999999956,3176.23,7737.66,402
712.0,1359.47,376.80000000074506,3.898,3.616,2384.375,3176.38,7734.75,401
713.0,1354.17,375.0,3.897,3.617,2378.3589999973774,3176.36,7713.56,400
714.0,1350.88,373.1999999992549,3.896,3.617,2360.31299999915,3176.31,7700.92,399
715.0,1345.61,372.30000000074506,3.896,3.617,2348.265000000596,3140.27,7714.89,398
716.0,1341.34,371.4000000003725,3.895,3.617,2336.3279999997467,3140.33,7716.0,397
717.0,1335.69,368.5,3.895,3.618,2322.629714285955,3104.34,7706.41,396
718.0,1333.31,367.1999999992549,3.895,3.619,2306.25,3104.25,7640.25,395
719.0,1330.53,367.1999999992549,3.894,3.619,2300.25,3104.25,7660.74,394
720.0,1328.45,367.1999999992549,3.895,3.62,2291.819571431726,3068.39,7649.83,393
721.0,1295.42,372.0,3.881,3.794,2051.39100000076,2940.0,8048.64,392
722.0,1305.53,363.5,3.884,3.902,2000.375,2852.38,7894.44,391
723.0,1317.78,364.1999999992549,3.889,3.627,2214.660714285448,2996.38,7729.34,390
724.0,1326.88,366.30000000074506,3.894,3.623,2252.322666667402,3032.31,7666.56,389
725.0,1326.03,366.30000000074506,3.895,3.621,2276.31299999915,3068.31,7654.62,388
726.0,1324.25,366.30000000074506,3.896,3.622,2271.2631428577006,3068.41,7693.31,387
727.0,1321.59,365.5,3.895,3.621,2265.964285714552,3068.25,7680.44,386
728.0,1318.31,365.0,3.895,3.621,2258.31299999915,3032.31,7680.91,385
729.0,1315.72,364.5,3.895,3.623,2250.504714284092,3032.22,7652.28,384
730.0,1314.34,364.0,3.894,3.622,2240.375,3032.38,7684.53,383
731.0,1310.66,362.6999999992549,3.894,3.622,2234.3430000003427,3032.34,7647.91,382
