Cycle_Index,DischargeTime(s),Decrement3.6-3.4V(s),Max.VoltageDischar.(V),Min.Voltage Charg.(V),Time_at4.15V(s),Time_constant_current(s),Charging_time(s),RUL
899.0,1147.42,317.19999999925494,3.857,3.662,1777.4308571442962,2492.29,7628.77,214
900.0,1147.39,318.0,3.857,3.662,1784.320000000298,2492.32,7470.59,213
901.0,1145.18,316.2857142854482,3.858,3.662,1782.639714287594,2492.35,7444.35,212
902.0,1140.1,315.3333333339542,3.857,3.662,1772.3199999984354,2492.32,7394.02,211
903.0,1139.75,316.0,3.858,3.664,1756.8284285701811,2492.26,7384.35,210
904.0,1137.6,314.0,3.858,3.663,1756.927428571507,2456.36,7369.51,209
905.0,1142.95,315.3333333339542,3.859,3.665,1751.749571427703,2456.32,7420.67,208
906.0,1139.07,314.5714285708964,3.859,3.662,1767.239142857492,2492.38,7412.26,207
907.0,1138.53,314.6666666660458,3.859,3.664,1751.7485714294016,2456.32,7396.09,206
908.0,1145.66,315.59999999962747,3.861,3.664,1751.655571429059,2456.23,7427.77,205
909.0,1144.77,316.0,3.86,3.661,1767.1151428557932,2492.29,7487.62,204
910.0,1139.2,313.9047619048506,3.86,3.663,1767.1071428563446,2492.25,7395.87,203
911.0,1137.88,314.0,3.86,3.663,1751.6998571418226,2456.26,7397.22,202
912.0,1136.16,312.1904761902988,3.861,3.663,1751.7795714307576,2456.35,7396.52,201
913.0,1136.19,314.0,3.859,3.663,1746.645714284852,2456.36,7402.75,200
914.0,1119.91,321.60150000080466,3.849,3.807,1477.343999998644,2303.02,7935.33,199
915.0,191180.17,168943.6839999985,4.228,3.353,54540.004000000656,65881.38,65881.38,198
916.0,1115.2,312.17142857052386,3.84,3.601,2699.3199999984354,3860.32,11610.72,197
917.0,1126.27,310.9714285712689,3.849,3.675,1710.6697142869234,2420.38,7640.61,196
918.0,1132.13,312.0,3.852,3.672,1746.6377142854035,2456.35,7437.06,195
919.0,1138.62,313.59999999962747,3.855,3.671,1762.066285714507,2456.35,7388.1,194
920.0,1141.12,314.91428571380675,3.856,3.671,1772.320000000298,2492.32,7374.56,193
921.0,1145.02,314.6666666660458,3.857,3.669,1781.3509999997914,2492.35,7414.82,192
922.0,1145.31,315.3333333339542,3.857,3.668,1787.6505714282391,2492.22,7423.33,191
923.0,1145.89,314.40000000037253,3.858,3.667,1787.7175714280456,2492.29,7399.48,190
924.0,1146.81,315.2571428567171,3.858,3.668,1787.780571429059,2492.35,7440.04,189
925.0,1146.02,314.40000000037253,3.857,3.666,1787.749571427703,2492.32,7435.8,188
926.0,1144.13,314.47619047760963,3.857,3.666,1787.7175714299085,2492.29,7473.76,187
927.0,1140.93,313.59999999962747,3.857,3.667,1777.4938571434468,2492.35,7491.55,186
928.0,1138.14,312.6666666660458,3.857,3.666,1767.2091428544372,2492.35,7415.2,185
929.0,1137.19,313.0285714287311,3.857,3.668,1762.035285713151,2456.32,7417.41,184
930.0,1137.22,311.59999999962747,3.857,3.668,1761.9722857140005,2456.26,7410.27,183
931.0,1138.33,313.0285714287311,3.857,3.667,1756.9154285732657,2456.34,7459.86,182
932.0,1137.72,312.6666666660458,3.857,3.668,1756.9624285716563,2456.39,7411.55,181
933.0,1134.39,310.80000000074506,3.857,3.667,1756.9154285695404,2456.34,7448.73,180
934.0,1130.56,310.0,3.856,3.667,1746.6297142859548,2456.34,7395.0,179
935.0,1122.77,308.0,3.854,3.667,1741.423857141286,2456.28,7363.94,178
936.0,1117.66,306.6666666660458,3.853,3.67,1715.7875714283437,2420.36,7360.94,177
937.0,1112.7,306.40000000037253,3.852,3.671,1704.890999998897,2384.39,7306.92,176
938.0,1108.64,305.59999999962747,3.851,3.671,1690.057285713032,2384.34,7362.69,175
939.0,1087.94,310.3959999997169,3.837,3.809,1386.359999999404,2198.02,7882.45,174
940.0,1101.75,306.0,3.845,3.927,1376.359999999404,2168.36,7795.2,173
941.0,1105.69,304.0,3.849,3.674,1659.1691428534689,2348.31,7439.53,172
942.0,1110.84,306.17142857052386,3.851,3.674,1669.3928571436554,2384.25,7388.19,171
943.0,1110.84,304.9714285712689,3.852,3.671,1682.343999998644,2384.34,7376.06,170
944.0,1106.28,304.45714285597205,3.851,3.671,1682.375,2384.38,7374.81,169
945.0,1107.44,305.3333333339542,3.851,3.672,1673.21799999848,2348.22,7314.94,168
946.0,1107.72,304.7272727265954,3.852,3.672,1674.6297142840922,2384.34,7386.81,167
947.0,1111.56,307.19999999925494,3.852,3.672,1674.5977142862976,2384.31,7405.19,166
948.0,1106.16,304.45714285597205,3.852,3.67,1684.977428568527,2384.41,7368.78,165
949.0,1105.16,303.9428571444005,3.852,3.672,1669.3928571436554,2348.25,7374.5,164
950.0,1105.41,304.45714285597205,3.852,3.671,1664.3440000005066,2348.34,7364.81,163
951.0,1104.97,303.59999999962747,3.852,3.671,1668.7190000023693,2348.22,7418.44,162
952.0,1103.28,302.7428571432829,3.852,3.671,1664.313000002876,2348.31,7379.5,161
953.0,1103.5,302.96103896200657,3.852,3.671,1664.3129999991506,2348.31,7421.41,160
954.0,1101.66,302.22857142984867,3.852,3.671,1664.375,2348.38,7374.25,159
955.0,1100.66,303.4285714291036,3.851,3.671,1659.2631428539753,2348.41,7374.03,158
956.0,1100.69,302.0,3.851,3.673,1659.2321428563446,2348.38,7402.41,157
957.0,1097.41,301.17210000008345,3.85,3.672,1659.2011428568512,2348.34,7364.12,156
958.0,1095.19,302.40000000037253,3.85,3.672,1654.0892857145518,2348.38,7336.53,155
959.0,1093.22,300.17142857052386,3.849,3.673,1648.8834285717458,2348.31,7326.59,154
960.0,1089.62,300.31168831139803,3.848,3.673,1643.772571431473,2348.34,7328.03,153
961.0,1086.28,298.6285714283585,3.847,3.673,1633.486857144162,2312.34,7291.38,152
962.0,1081.91,298.40000000037253,3.847,3.674,1623.843999998644,2312.34,7300.91,151
963.0,1063.47,301.6039999984205,3.833,3.819,1302.34299999848,2107.0,7901.78,150
964.0,1069.28,296.88311688415706,3.839,3.931,1292.375,2096.38,7767.28,149
965.0,1071.22,296.41558441706,3.841,3.68,1576.8834285717458,2240.31,7392.94,148
966.0,1071.75,294.3428571429104,3.843,3.678,1587.1745714321733,2276.34,7303.25,147
967.0,1074.62,296.90909090824425,3.845,3.678,1592.313000002876,2276.31,7315.19,146
968.0,1075.75,296.10389610379934,3.845,3.677,1596.75,2276.25,7310.38,145
969.0,1072.62,296.5714285708964,3.845,3.678,1592.313000002876,2276.31,7281.81,144
970.0,1075.5,296.80000000074506,3.845,3.678,1587.2321428563446,2276.38,7300.88,143
971.0,1078.19,296.10389610379934,3.846,3.676,1592.25,2276.25,7358.0,142
972.0,1082.0,297.3506493512541,3.847,3.676,1597.5178571436554,2276.38,7336.25,141
973.0,1078.88,296.10389610379934,3.846,3.675,1610.375,2276.38,7357.62,140
974.0,1077.69,297.02991428785026,3.846,3.675,1601.311999997124,2276.31,7367.12,139
975.0,1079.0,297.59999999962747,3.846,3.676,1597.5178571436554,2276.38,7368.69,138
976.0,1077.5,297.59999999962747,3.846,3.675,1601.375,2276.38,7361.81,137
977.0,1077.19,296.80000000074506,3.846,3.676,1597.5178571436554,2276.38,7408.94,136
978.0,1073.88,296.0,3.845,3.675,1596.938000002876,2276.44,7361.56,135
979.0,1070.06,293.1428571436554,3.845,3.676,1587.75,2276.25,7364.38,134
980.0,1069.06,293.1428571436554,3.845,3.677,1582.026285711676,2240.31,7322.19,133
981.0,1067.12,292.90909090824425,3.846,3.677,1578.811999997124,2240.31,7345.5,132
982.0,1066.31,292.90909090824425,3.846,3.678,1571.7415714319795,2240.31,7319.44,131
983.0,1067.38,292.80000000074506,3.846,3.678,1571.7405714262277,2240.31,7331.0,130
984.0,1065.25,292.05194805189967,3.846,3.677,1571.8035714291036,2240.38,7344.31,129
985.0,1063.56,292.0,3.845,3.68,1566.5977142825725,2240.31,7249.62,128
986.0,1059.25,291.2727272734046,3.843,3.678,1561.4548571407795,2240.31,7321.0,127
987.0,1032.75,290.8121666647494,3.827,3.812,1239.311999997124,2037.0,7849.62,126
988.0,1044.81,288.46753246709704,3.835,3.934,1206.6607142854482,1988.38,7757.19,125
989.0,1046.81,289.7142857145518,3.837,3.684,1511.311999997124,2168.31,7375.56,124
990.0,1043.38,288.2857142854482,3.836,3.684,1515.875,2168.38,7301.5,123
991.0,1046.56,288.0,3.837,3.683,1510.026285711676,2168.31,7281.38,122
992.0,1046.56,288.0,3.838,3.684,1515.811999997124,2168.31,7209.62,121
993.0,1044.12,287.2857142854482,3.837,3.682,1520.375,2168.38,7255.12,120
994.0,1039.75,285.5714285708964,3.838,3.683,1515.2951428592205,2168.44,7246.31,119
995.0,1039.75,286.2857142854482,3.838,3.684,1504.8834285680205,2168.31,7240.81,118
996.0,1040.25,286.2857142854482,3.839,3.684,1502.375,2168.38,7188.44,117
997.0,1040.94,286.90909090824425,3.839,3.684,1504.8214285708964,2168.25,7225.0,116
998.0,1040.12,286.90909090824425,3.839,3.683,1502.311999997124,2168.31,7151.31,115
999.0,1041.69,286.90909090824425,3.839,3.683,1502.313000002876,2168.31,7238.12,114
1000.0,1042.31,286.90909090824425,3.839,3.683,1502.313000002876,2168.31,7197.5,113
1001.0,1041.5,286.90909090824425,3.839,3.682,1510.0892857145518,2168.38,7175.94,112
1002.0,1040.94,286.90909090824425,3.838,3.683,1506.875,2168.38,7240.94,111
1003.0,1039.44,286.2857142854482,3.839,3.683,1502.375,2168.38,7230.38,110
1004.0,1034.5,283.8571428563446,3.838,3.683,1497.936999997124,2168.44,7252.81,109
1005.0,1028.81,283.4285714291036,3.835,3.684,1488.811999997124,2132.31,7239.94,108
1006.0,1030.44,283.4285714291036,3.836,3.685,1475.375,2132.38,7278.0,107
1007.0,1028.62,282.7142857145518,3.836,3.685,1479.875,2132.38,7197.0,106
1008.0,1031.88,283.4285714291036,3.836,3.685,1475.311999997124,2132.31,7196.0,105
1009.0,1027.81,282.0,3.836,3.684,1488.875,2132.38,7222.12,104
1010.0,1026.19,282.0,3.835,3.685,1468.9464285708964,2132.38,7205.19,103
1011.0,1014.75,283.25,3.823,3.814,1155.25,1932.0,7855.12,102
1012.0,190945.99,6120.0,4.22,3.363,53069.9840000011,64385.95,64385.95,101
1013.0,1008.48,279.16483516432345,3.815,3.619,2470.719999998808,3644.32,12038.62,100
1014.0,1007.75,275.1428571417928,3.821,3.698,1430.3839999996126,2096.38,7509.15,99
