Battery_ID;Cycle_Index;DischargeTime(s);Decrement3.6-3.4V(s);Max.VoltageDischar.(V);Min.Voltage Charg.(V);Time_at4.15V(s);Time_constant_current(s);Charging_time(s);RUL
1010;4450;172487;5160;3959;3521;3,49315E+15;440035;824189;668
1010;4460;172226;5140;3958;3522;3,48831E+15;440031;822422;667
1010;4470;172016;5,13429E+15;3958;3522;3,48234E+15;436434;820867;666
1010;4480;171834;5120;3957;3522;3,47154E+16;436434;821594;665
1010;4490;171673;5130;3958;3523;3,47036E+14;436436;820077;664
1010;4500;171441;5,10857E+15;3957;3522;3,46436E+14;436436;820506;663
1010;4510;171111;5080;3957;3523;3,45233E+15;436433;818742;662
1010;4520;170941;5,06571E+15;3957;3523;3,44039E+14;432839;821255;661
1010;4530;17063;5060;3957;3524;3,43422E+16;432822;819709;660
1010;4540;169376;5,02804E+13;3958;3729;3318375;427002;83802;659
1010;4550;172502;5080;3949;3829;3,15485E+15;414845;855754;658
1010;4560;172749;5120;3953;3527;3,50638E+15;440038;831459;657
1010;4570;172563;5100;3954;3526;3,51235E+15;440035;829072;656
1010;4580;172336;5100;3954;3526;3,50632E+15;440032;826835;655
1010;4590;171968;5,08714E+15;3953;3526;3,50036E+14;440036;82257;654
1010;4600;171718;5090;3954;3526;3,48832E+16;436432;82305;653
1010;4610;171363;5,07429E+15;3954;3526;3,47875E+16;436435;821136;652
1010;4620;17105;5050;3953;3527;3,46432E+15;436432;822512;651
1010;4630;170713;5040;3953;3528;3,45712E+15;432832;819287;650
1010;4640;170592;5,03985E+15;3953;3528;3,44275E+15;432835;820745;649
1010;4650;170394;5,02857E+15;3953;3529;3,44035E+15;432835;819348;648
1010;4660;170144;5030;3953;3528;3,43429E+16;432829;818288;647
1010;4670;169914;5,00571E+15;3953;3529;3,42232E+15;432832;815924;646
1010;4680;169725;5020;3952;353;3,41635E+16;429235;81801;645
1010;4690;169597;4,99286E+15;3952;3529;3,41036E+15;429236;818186;644
1010;4700;176797;5630;3954;3529;3,41396E+16;432836;808631;643
1010;4710;176088;5590;3951;3492;3,62996E+16;454436;833956;642
1010;4720;175388;5540;3949;3495;3,60239E+16;450839;835722;641
1010;4730;167866;4,93714E+15;3948;3498;3,53634E+15;443634;844159;640
1010;4740;167875;4,90286E+15;3949;3533;3,34436E+15;422036;813255;639
1010;4750;168125;4940;395;3532;3,35039E+16;425639;814298;638
1010;4760;167552;4,90286E+15;3949;3532;3,35631E+15;425631;812364;637
1010;4770;16727;4890;3949;3532;3,33833E+15;422033;810833;636
1010;4790;162586;4,68857E+15;3939;4053;3,02352E+15;112435;527763;634
1010;4800;163625;4,73143E+15;3945;3544;3,17632E+16;407632;808509;633
1010;4810;163658;4,74429E+15;3947;3541;3,20629E+15;407629;807155;632
1010;4820;163581;4,74429E+15;3947;354;3,20632E+15;407632;807005;631
1010;4830;163479;4,71429E+15;3947;354;3,20035E+15;407635;805024;630
1010;4840;163318;4720;3947;354;3,19792E+15;407632;808803;629
1010;4850;163226;4,73143E+15;3947;354;3,19075E+15;407638;807651;628
1010;4860;162989;4740;3947;354;3,18832E+16;407632;805501;627
1010;4870;162768;4,71857E+15;3946;354;3,17632E+16;407632;807961;626
1010;4880;162563;4,70571E+15;3946;3541;3,16912E+15;404032;805626;625
1010;4890;162346;4690;3945;3542;3,16195E+15;404035;803539;624
1010;4900;162249;4,69286E+15;3945;3542;3,15835E+15;404035;804576;623
1010;4910;162049;4680;3945;3542;3,15236E+14;404035;803635;622
1010;4920;161949;4680;3945;3543;3,14638E+16;404038;805536;621
1010;4930;161712;4,66714E+15;3945;3542;3,14023E+14;404023;801361;620
1010;4940;16152;4,66714E+15;3945;3542;3,13431E+16;400431;803583;619
1010;4950;16127;4,65429E+15;3944;3544;3,12847E+15;400448;802922;618
1010;4960;161078;4,64143E+15;3944;3543;3,12222E+15;400425;803155;617
1010;4970;160836;4,62857E+15;3943;3543;3,11636E+14;400436;803236;616
1010;4980;160606;4,59857E+15;3943;3544;3,11036E+15;400436;801917;615
1010;4990;160564;4,59857E+15;3944;3546;3,10436E+16;396836;802173;614
1010;5000;160416;4,59839E+15;3944;3545;3,09836E+15;396836;80137;613
1010;5010;160295;4610;3944;3545;3,09717E+16;396838;805002;612
1010;5020;158598;4,60813E+15;3941;3755;2,94034E+16;388498;822538;611
1010;5030;19610406;1,83358E+15;4256;3315;6,204E+15;734434;734434;610
1010;5040;163542;4,66714E+15;3932;3516;3,90355E+16;497635;100097;609
1010;5050;164538;4710;3938;3559;3,22675E+15;411235;826291;608
