Battery_ID;Cycle_Index;DischargeTime(s);Decrement3.6-3.4V(s);Max.VoltageDischar.(V);Min.Voltage Charg.(V);Time_at4.15V(s);Time_constant_current(s);Charging_time(s);RUL
1530;10;25953;11514885;367;3211;5460001;675501;1077782;1112
1530;20;740864;1,17251E+16;4246;322;5,50899E+15;676202;1050035;1111
1530;30;739376;1,11299E+15;4249;3224;5,50899E+15;676202;1042038;1110
1530;40;73855;1,08032E+16;425;3225;5,50202E+15;676202;1032281;1109
1530;60;6502275;29813487;429;3398;5,48099E+15;5321354;5669965;1107
1530;70;330118;1,19424E+16;3674;3504;5,02363E+16;597738;597738;1106
1530;80;59553;1,22014E+16;4013;3501;5,01749E+15;596755;596755;1105
1530;90;59512;1,22014E+16;4014;3501;5,0175E+15;596221;596221;1104
1530;100;594544;1,21692E+15;4014;3501;5,00999E+15;595491;595491;1103
1530;110;43525149;263086078;4267;3086;2,69984E+16;44370002;44370002;1102
1530;120;322858;1,13535E+16;3689;3485;5,03308E+14;596989;596989;1101
1530;130;60199;1,05828E+16;4045;3475;5,05384E+15;598077;598077;1100
1530;140;602659;1,04949E+15;4047;3477;5,04643E+15;596682;596682;1099
1530;150;600807;1,06537E+16;4045;348;5,03308E+15;595447;595447;1098
1530;160;42327135;168773265;427;3108;2,19924E+16;43002884;43002884;1097
1530;170;226134;8,832E+15;4038;3901;1,94966E+16;292269;607011;1096
1530;180;225946;8,83199E+15;4042;3373;5,18138E+15;616138;931098;1095
1530;190;225661;8,784E+15;4042;3374;5181375;615437;929664;1094
1530;200;225283;8,73601E+15;4043;3374;5,17433E+15;614733;924358;1093
1530;210;225062;8,68801E+15;4044;3374;5,16029E+15;614029;924553;1092
1530;220;22486;8,68797E+15;4044;3375;5,16032E+15;613334;924832;1091
1530;230;224505;8640;4044;3374;5,15341E+15;61264;921578;1090
1530;240;224253;8,61594E+14;4044;3376;5,14637E+15;611936;919062;1089
1530;250;223956;8,59196E+15;4044;3377;5,13937E+15;611236;917943;1088
1530;260;223735;8,56797E+15;4044;3377;513225;610527;918121;1087
1530;270;223626;8,56796E+15;4045;3377;5,12534E+15;609834;91983;1086
