Battery_ID;Cycle_Index;DischargeTime(s);Decrement3.6-3.4V(s);Max.VoltageDischar.(V);Min.Voltage Charg.(V);Time_at4.15V(s);Time_constant_current(s);Charging_time(s);RUL
2120;2230;198675;6,588E+15;3987;3461;4,34995E+15;530035;865037;890
2120;2240;198502;6,568E+15;3987;3461;4,34038E+14;526438;866787;889
2120;2250;198275;6,568E+15;3988;3461;4,33434E+15;526434;862483;888
2120;2260;198109;6,568E+15;3988;3461;4,32833E+15;526433;865441;887
2120;2270;197881;6540;3987;3462;4,32113E+14;526436;862247;886
2120;2280;197689;6,552E+15;3987;3461;4,31396E+15;526436;865677;885
2120;2290;197408;6520;3987;3462;4,30671E+15;522831;862047;884
2120;2300;197278;6520;3987;3462;4,29951E+15;522831;864233;883
2120;2310;197136;6,536E+15;3987;3482;4,29234E+15;522834;864055;882
2120;2320;196959;6,516E+15;3987;3463;4,28634E+15;522834;862108;881
2120;2330;196867;6,516E+15;3987;3463;4,28034E+15;522834;864867;880
2120;2340;196628;6500;3987;3463;4,27794E+14;522834;859686;879
2120;2350;196297;6,40812E+14;3994;3702;4,21428E+15;517298;87500;878
2120;2360;196294;6400;3981;3781;4,18434E+15;512034;867141;877
2120;2370;196938;6480;3986;3469;4,26351E+15;519231;863066;876
2120;2380;196806;6520;3986;3464;4280375;522838;861994;875
2120;2390;196609;6480;3986;3464;4,27793E+15;522831;862212;874
2120;2400;196303;6,464E+15;3986;3464;4,27078E+16;519238;860984;873
2120;2410;196122;6,444E+15;3986;3464;4,26231E+15;519231;864753;872
2120;2420;19585;6,448E+15;3985;3465;4,25641E+15;519241;861653;871
2120;2430;195641;6420;3985;3466;4,24434E+15;519234;861566;870
2120;2440;195503;6,408E+15;3986;3466;4,23834E+15;515634;861997;869
2120;2450;195362;6420;3986;3465;4,23231E+15;515631;860112;868
2120;2460;195109;6,43232E+15;3986;3466;4,22751E+15;515631;859388;867
2120;2470;195019;6,392E+15;3985;3466;4,22031E+15;515631;861575;866
2120;2480;194862;6400;3985;3466;4,22034E+15;515634;860094;865
2120;2490;194691;6,396E+15;3985;3466;4,21317E+15;515638;857612;864
2120;2500;194541;6,376E+15;3985;3467;4208375;515638;861312;863
2120;2510;194384;6380;3985;3467;4,19871E+15;512031;859259;862
2120;2520;194244;6360;3984;3468;4,19631E+15;512031;856891;861
2120;2530;194144;6360;3984;3468;4,19028E+15;512028;855666;860
2120;2540;194031;6,36032E+15;3984;3467;4,18431E+15;512031;856916;859
2120;2550;193859;6,344E+15;3984;3467;418425;512025;853422;858
2120;2560;193728;6,324E+15;3984;3468;4,17721E+15;512041;857884;857
2120;2570;193562;6,328E+15;3983;3468;4,16994E+15;512034;858372;856
2120;2580;19320;6340;3983;347;4166375;508438;858088;855
2120;2590;192862;6240;3991;3709;4102375;50610;867106;854
2120;2600;193642;6280;3977;3787;4,06195E+15;501235;861235;853
2120;2610;19368;6,288E+15;3979;3472;4,16986E+14;508426;860698;852
2120;2620;193939;6,336E+15;3982;3471;4,16992E+15;508432;861347;851
2120;2630;193795;6,336E+15;3982;3469;4,17705E+15;512025;861184;850
2120;2640;193485;6300;3982;3469;4,17232E+15;508432;857674;849
2120;2650;193424;6300;3982;3471;4,16623E+15;508423;859722;848
2120;2660;19320;6280;3982;347;4,16272E+15;508432;859479;847
2120;2670;193066;6280;3981;347;4,15555E+15;508435;860704;846
2120;2680;19272;6,264E+15;398;3471;4,14835E+15;508435;856048;845
2120;2690;19262;6,264E+15;3981;3471;4,14115E+15;508435;858186;844
2120;2700;192391;6,248E+15;398;3473;413625;504825;854345;843
2120;2710;192237;6,248E+15;398;3471;4,13389E+15;504829;85664;842
2120;2720;192102;6220;398;3471;4,12435E+15;504835;854857;841
2120;2730;191956;6220;398;3472;4,11954E+15;504834;856736;840
2120;2740;191812;6,232E+15;398;3473;4,11836E+15;504836;855319;839
2120;2750;191639;6,19212E+15;398;3473;4,11236E+15;504836;855792;838
2120;2760;191477;6200;3979;3473;4,10623E+15;504823;853767;837
2120;2770;191331;6,216E+15;398;3474;4,10511E+15;501231;854791;836
2120;2780;19120;6,176E+15;3979;3473;4,09794E+15;501234;855203;835
2120;2790;191005;6200;3979;3474;4,09074E+15;501234;851927;834
2120;2800;190897;6200;3979;3475;4,08834E+15;501234;851331;833
2120;2810;190806;6160;3979;3475;4,0857E+15;50145;852951;832
2120;2820;190672;6160;3979;3475;4,08234E+15;501234;848994;831
2120;2830;19040;6,09593E+15;3987;3712;4,0112E+15;497002;863066;830
2120;2840;190716;6,112E+15;3976;3789;3,98271E+16;494031;858975;829
2120;2850;190806;6,144E+15;3978;348;4,07631E+15;501231;85660;828
2120;2860;190834;6,144E+15;3978;3478;4,07634E+15;501234;853406;827
2120;2870;190862;6160;3979;3477;4082375;501238;853247;826
2120;2880;190703;6160;3979;3476;4,07631E+15;501231;854547;825
2120;2890;190366;6,144E+15;3979;3476;4,07034E+15;501234;852325;824
2120;2900;190097;6120;3978;3478;4,06191E+16;497631;849694;823
2120;2910;19005;6120;3979;3478;4,05462E+16;497622;853319;822
2120;2920;189862;6080;3979;3479;4052375;497638;854641;821
2120;2930;189672;6,088E+15;3979;3479;4,04631E+15;497631;850981;820
2120;2940;189594;6,088E+15;3978;3479;4040375;497638;853688;819
2120;2950;189453;6,088E+15;3979;3479;4034375;497638;851003;818
2120;2960;189353;6100;3979;3479;4,03302E+15;494022;854172;817
2120;2970;189094;6,072E+15;3978;3478;4,02597E+15;494038;850856;816
2120;2980;188997;6080;3978;348;4,01871E+15;494031;852281;815
2120;2990;188847;6,056E+15;3978;348;4,01634E+15;494034;849247;814
2120;3000;188681;6060;3978;348;4,01158E+15;494038;849209;813
2120;3010;188531;6,04021E+15;3977;348;4010375;494038;846412;812
2120;3020;188544;6040;3978;348;4004375;494038;851872;811
2120;3030;188334;6000;3977;348;3,99834E+16;494034;851788;810
2120;3040;188153;6020;3977;3481;3,99234E+15;490434;849553;809
2120;3050;187931;5,984E+15;3977;3482;3,98997E+15;490438;845762;808
2120;3060;187769;5,984E+15;3977;3482;3,98271E+16;490431;848419;807
2120;3070;187394;5,95188E+14;3984;3714;3,90631E+15;48650;860212;806
2120;3080;19874844;1,92077E+15;4266;329;6,669E+15;7825555;7825555;805
2120;3090;191274;6040;3973;3474;4,52992E+16;555232;95096;804
2120;3100;191926;6140;3977;3486;4,10635E+15;501235;862483;803
2120;3110;191898;6140;3977;3484;4,12432E+15;504832;859648;802
2120;3120;191686;6,136E+15;3978;3484;4,12432E+15;504832;856438;801
2120;3130;19151;6120;3978;3485;4,11835E+14;504835;85809;800
2120;3140;19119;6,136E+15;3978;3485;4,11232E+15;504832;85401;799
2120;3150;190973;6080;3978;3485;4,10502E+15;501222;855015;798
2120;3160;190681;6,096E+15;3978;3485;4,09792E+15;501232;85121;797
2120;3170;190368;6060;3978;3485;4,08832E+15;501232;852109;796
2120;3180;191392;6180;3981;3486;4,07635E+16;501235;85336;795
2120;3190;189974;6,096E+15;3979;348;4,11231E+15;501231;852672;794
2120;3200;189555;6040;3978;3486;4,06432E+15;497632;848934;793
2120;3210;189289;6040;3978;3486;4,05232E+15;497631;848177;792
2120;3220;189051;6020;3978;3487;4,04034E+15;497634;848288;791
2120;3230;188795;6,024E+15;3977;3486;4,03431E+15;494031;846211;790
2120;3240;18840;6,024E+15;3978;3487;4,02594E+16;494034;848275;789
2120;3250;188531;5,984E+15;3978;3487;4,01874E+15;494034;851002;788
2120;3260;188325;6000;3978;3488;4,01151E+15;494031;850531;787
2120;3270;188084;6,008E+15;3978;3487;4,00431E+14;494031;848128;786
2120;3280;187936;5,968E+15;3978;3488;3,99832E+16;490428;848775;785
2120;3290;187701;5980;3977;3487;3,99234E+16;490434;844761;784
2120;3300;187533;5,952E+15;3977;3488;3986375;490438;847512;783
2120;3310;18722;5940;3976;3488;3,98036E+16;490436;848042;782
2120;3320;186494;590375;3982;3711;3,89234E+15;48440;860699;781
2120;3330;186856;5880;3971;3791;3860375;479638;854641;780
2120;3340;187472;5960;3975;3493;3,95634E+15;486834;849625;779
2120;3350;187347;5940;3976;3489;3,97551E+13;490431;847894;778
2120;3360;187091;5920;3976;3489;3,97422E+16;490422;845325;777
2120;3370;186825;5920;3976;3488;3,96222E+16;486822;849588;776
2120;3380;186475;5,904E+15;3975;349;3956375;486838;84640;775
2120;3390;186291;5,904E+15;3976;349;3,94431E+15;486831;846166;774
2120;3400;186075;5880;3976;3491;3,93841E+16;486841;844672;773
2120;3410;185922;5880;3976;349;3,93234E+16;483234;84510;772
2120;3420;185772;5840;3975;3491;3,92517E+16;483238;843919;771
2120;3430;185588;5,848E+15;3976;349;3,92034E+15;483234;844094;770
2120;3440;185425;5860;3975;3491;3,91791E+16;483231;841203;769
2120;3450;185238;5820;3976;3491;3908375;483238;841303;768
2120;3460;185019;5,832E+15;3975;3491;3902375;483238;839534;767
2120;3470;184916;5810;3975;3492;389625;479625;841962;766
2120;3480;184572;5780;3975;3492;3,88911E+15;479631;839784;765
2120;3490;184512;5800;3975;3493;3,87834E+16;479634;843084;764
2120;3500;184344;5800;3974;3492;3,87234E+16;479634;841062;763
2120;3510;184216;5790;3974;3492;3,86751E+15;479631;839816;762
2120;3520;184144;5810;3974;3494;3,86622E+16;479622;842472;761
2120;3530;183944;5,784E+15;3974;3492;3,86031E+15;479631;839369;760
