Battery_ID;Cycle_Index;DischargeTime(s);Decrement3.6-3.4V(s);Max.VoltageDischar.(V);Min.Voltage Charg.(V);Time_at4.15V(s);Time_constant_current(s);Charging_time(s);RUL
3030;6680;148855;4,28571E+15;3903;3571;2,73233E+16;357233;803633;445
3030;6690;148675;4,30286E+15;3903;3572;2,72633E+16;357233;805105;444
3030;6700;14848;4,27286E+15;3903;3573;2,72031E+14;357231;802556;443
3030;6710;148298;4,272E+15;3903;3573;2,71436E+14;357236;805377;442
3030;6720;144022;4,30797E+15;3884;3764;2,49228E+15;343002;840556;441
3030;6730;14545;4,22057E+15;3885;3879;2,39154E+16;332034;816444;440
3030;6740;146578;4,25219E+15;389;3584;2,60631E+14;346431;810856;439
3030;6750;147434;4,272E+15;3895;3581;2,64828E+16;350028;806222;438
3030;6760;147266;4260;3896;3578;2,67231E+14;353631;804294;437
3030;6770;147447;4,25486E+15;3897;3582;2,66631E+14;350031;802916;436
3030;6780;14740;4,24286E+15;3897;3577;2,67228E+15;353628;805188;435
3030;6790;147309;4,26527E+15;3896;3578;2,67234E+15;350034;803684;434
3030;6800;147238;4230;3897;3577;2,67234E+15;353634;803384;433
3030;6810;146838;4,23429E+15;3896;3578;2666375;350038;801859;432
3030;6820;146906;4,21714E+15;3897;3579;2,65422E+15;350022;802791;431
3030;6830;146744;4,21714E+15;3897;3578;2,66034E+15;350034;803288;430
3030;6840;146506;4200;3897;3578;2,65434E+15;350034;800881;429
3030;6850;146372;4215;3897;3579;2,64822E+16;350022;801553;428
3030;6860;146269;4,21714E+15;3898;3579;2,64351E+16;350031;801478;427
3030;6870;146216;4,21714E+15;3897;358;264225;350025;800338;426
3030;6880;146228;4,21714E+15;3897;3581;2,63631E+14;346431;801966;425
3030;6890;146062;4,20429E+15;3897;358;2,63034E+15;346434;800041;424
3030;6900;145975;4,18629E+16;3896;3581;2,62434E+16;346434;80040;423
3030;6910;145781;4,19143E+15;3897;358;2624375;346438;80385;422
3030;6920;145494;4,16143E+15;3897;3581;2618375;346438;798659;421
3030;6930;145381;4170;3896;3581;2,61234E+15;346434;805072;420
3030;6940;145291;4,17257E+15;3896;3581;2,60628E+15;342828;803441;419
3030;6950;145194;4155;3896;3582;2,60631E+14;342831;804938;418
3030;6960;141325;4,22407E+15;3878;3769;2,39434E+15;33250;83880;417
3030;6970;18908215;1,74964E+16;4241;334;5,781E+15;6913808;6913808;416
3030;6980;139318;3,894E+15;3885;3598;2,58032E+16;460038;1025238;415
3030;6990;140739;3,912E+15;39;3618;2,51035E+15;332035;794947;414
3030;7000;141059;3,909E+15;3904;3613;2,55838E+16;335638;785376;413
3030;7010;140944;3,903E+16;3906;3612;2,56949E+16;335635;777779;412
3030;7020;140634;3,888E+16;3906;3611;2,56422E+16;335622;775091;411
3030;7030;140272;3,888E+16;3907;3612;2,55235E+15;335635;775565;410
3030;7040;140122;3,888E+16;3907;3611;2,54036E+16;335636;774314;409
3030;7050;139869;3,864E+15;3907;3611;2,52831E+16;332031;77623;408
3030;7060;138038;3825;3903;3611;2,51623E+15;332023;772314;407
3030;7070;136963;3,80381E+15;39;3615;2,45032E+15;324832;768512;406
3030;7080;136611;3795;39;3617;2,41432E+13;321232;769117;405
3030;7090;136563;3,77081E+16;39;3616;2,40232E+13;321232;776499;404
3030;7100;136288;3,78171E+15;3899;3616;2,39626E+16;321226;772003;403
3030;7110;136154;3,77486E+15;3899;3616;2,39023E+15;317623;773766;402
3030;7120;135947;3,768E+16;3898;3616;2384375;317638;773475;401
3030;7130;135417;3750;3897;3617;2,37836E+16;317636;771356;400
3030;7140;135088;3,732E+15;3896;3617;2,36031E+14;317631;770092;399
3030;7150;134561;3,723E+16;3896;3617;2,34827E+15;314027;771489;398
3030;7160;134134;3,714E+15;3895;3617;2,33633E+16;314033;77160;397
3030;7170;133569;3685;3895;3618;2,32263E+15;310434;770641;396
3030;7180;133331;3,672E+15;3895;3619;230625;310425;764025;395
3030;7190;133053;3,672E+15;3894;3619;230025;310425;766074;394
3030;7200;132845;3,672E+15;3895;362;2,29182E+15;306839;764983;393
3030;7210;129542;3720;3881;3794;2,05139E+14;29400;804864;392
3030;7220;130553;3635;3884;3902;2000375;285238;789444;391
3030;7230;131778;3,642E+15;3889;3627;2,21466E+15;299638;772934;390
3030;7240;132688;3,663E+16;3894;3623;2,25232E+15;303231;766656;389
3030;7250;132603;3,663E+16;3895;3621;2,27631E+14;306831;765462;388
3030;7260;132425;3,663E+16;3896;3622;2,27126E+16;306841;769331;387
3030;7270;132159;3655;3895;3621;2,26596E+15;306825;768044;386
3030;7280;131831;3650;3895;3621;2,25831E+14;303231;768091;385
3030;7290;131572;3645;3895;3623;2,2505E+15;303222;765228;384
3030;7300;131434;3640;3894;3622;2240375;303238;768453;383
3030;7310;131066;3,627E+15;3894;3622;2,23434E+16;303234;764791;382
3030;7320;130988;3,642E+15;3893;3622;2222375;303238;767638;381
3030;7330;130862;3,633E+16;3893;3622;2,21977E+16;299634;765906;380
3030;7340;130547;3620;3892;3621;2,21634E+15;299634;764938;379
3030;7350;130475;3,61333E+15;3892;3622;2,21041E+16;299641;762444;378
3030;7360;130012;3,606E+15;3892;3622;2,20945E+15;299631;762894;377
3030;7370;129575;3585;3891;3623;2,19834E+15;299634;76320;376
3030;7380;129222;3580;3891;3644;2,18377E+15;296034;760347;375
3030;7390;12890;3560;389;3624;2,17434E+16;296034;762794;374
3030;7400;128422;3,54933E+15;3889;3625;2,15619E+14;296019;760059;373
3030;7410;128109;3,552E+16;3888;3626;2,14441E+16;292441;761297;372
3030;7420;127931;3540;3888;3627;2,13234E+15;292431;759922;371
3030;7430;127841;3,528E+16;3888;3627;2,13231E+16;292431;759519;370
3030;7440;127888;3,528E+16;3888;3627;2,1272E+15;292434;760091;369
3030;7450;124634;3600;3876;3803;1,89741E+15;27790;798984;368
3030;7460;125562;3,501E+16;3877;3909;1,82634E+16;270834;777084;367
3030;7470;125694;3490;388;3634;2,06552E+16;285238;76030;366
3030;7480;12630;3500;3882;3633;2,07066E+15;285238;750012;365
3030;7490;126931;3,516E+16;3885;3631;2,09117E+15;288831;753188;364
3030;7500;12680;3505;3886;3631;2108375;288838;750588;363
3030;7510;126862;3,51333E+15;3886;3631;2,1066E+16;288831;755406;362
3030;7520;126531;3,507E+16;3885;363;2102375;288838;751081;361
3030;7530;126119;3490;3885;363;2,09031E+16;288831;750038;360
3030;7540;125888;3,47333E+15;3885;3631;2,0758E+15;285238;749275;359
3030;7550;125538;3465;3884;3632;2,06539E+16;285225;746812;358
3030;7560;12555;3,47333E+15;3885;3632;2,05517E+15;281631;74490;357
3030;7570;125681;3,47733E+16;3886;3632;2,05517E+15;281631;751244;356
3030;7580;125669;3,474E+16;3886;3631;2,06031E+14;281631;752744;355
3030;7590;125756;3480;3886;3631;2062625;281862;754356;354
3030;7600;125744;3,464E+16;3886;3631;206025;285225;754638;353
3030;7610;125544;3470;3886;3631;2060375;281638;758056;352
3030;7620;125519;3465;3886;3632;2,05431E+16;281631;757319;351
3030;7630;125231;3,46667E+15;3885;3632;2054375;281638;759912;350
3030;7640;125038;3455;3884;3632;2,04482E+16;281625;757956;349
3030;7650;124712;3450;3883;3633;2,03974E+15;281631;755306;348
3030;7660;124531;3440;3884;3633;2,03466E+15;281638;759519;347
3030;7670;124394;3440;3883;3635;2,02946E+15;278031;755862;346
3030;7680;124362;3,438E+16;3884;3636;202425;278025;755025;345
3030;7690;122044;3,52812E+16;3873;3798;1799375;26670;791906;344
3030;7700;12210;3400;3872;3912;1,74351E+16;260031;77795;343
3030;7710;122719;3400;3876;3641;1,9626E+16;274431;749412;342
3030;7720;123419;3420;3878;3639;1982375;274438;749019;341
3030;7730;123862;3,432E+16;3878;3637;2,00031E+16;278031;753606;340
3030;7740;124212;3,43333E+15;388;3635;2,01396E+15;278025;750375;339
3030;7750;123988;3420;3881;3634;2030375;278038;749638;338
3030;7760;123825;3430;388;3635;2,02419E+15;278019;745469;337
3030;7770;123569;3425;388;3635;2,02431E+16;278038;748438;336
3030;7780;123438;3,417E+16;388;3636;2,01231E+16;278031;747006;335
3030;7790;12320;3405;388;3636;2,0038E+15;278038;742994;334
3030;7800;123138;3,417E+16;388;3637;1,99866E+15;278038;744162;333
3030;7810;12325;3,40667E+15;388;3638;1,99345E+16;274431;747412;332
3030;7820;12330;3,40667E+15;388;3636;1,99346E+15;274431;74670;331
3030;7830;12315;3400;388;3636;1,99346E+15;274431;746881;330
3030;7840;122888;3400;388;3637;1,99352E+15;274438;748962;329
3030;7850;122856;3,384E+16;388;3637;1,98831E+16;274431;747319;328
3030;7860;122712;3380;388;3637;1988375;274438;747525;327
3030;7870;122488;3375;3879;3638;1,98317E+15;274431;74615;326
3030;7880;122312;3,38667E+15;3879;3638;1,97631E+15;274431;745788;325
3030;7890;122106;3385;3878;3638;1,97282E+16;274425;745412;324
