Battery_ID;Cycle_Index;DischargeTime(s);Decrement3.6-3.4V(s);Max.VoltageDischar.(V);Min.Voltage Charg.(V);Time_at4.15V(s);Time_constant_current(s);Charging_time(s);RUL
5050;8990;114742;3,172E+16;3857;3662;1,77743E+16;249229;762877;214
5050;9000;114739;3180;3857;3662;1,78432E+15;249232;747059;213
5050;9010;114518;3,16286E+15;3858;3662;1,78264E+15;249235;744435;212
5050;9020;11401;3,15333E+15;3857;3662;1,77232E+16;249232;739402;211
5050;9030;113975;3160;3858;3664;1,75683E+16;249226;738435;210
5050;9040;11376;3140;3858;3663;1,75693E+15;245636;736951;209
5050;9050;114295;3,15333E+15;3859;3665;1,75175E+15;245632;742067;208
5050;9060;113907;3,14571E+15;3859;3662;1,76724E+15;249238;741226;207
5050;9070;113853;3,14667E+15;3859;3664;1,75175E+16;245632;739609;206
5050;9080;114566;3,156E+16;3861;3664;1,75166E+15;245623;742777;205
5050;9090;114477;3160;386;3661;1,76712E+16;249229;748762;204
5050;9100;11392;3,13905E+15;386;3663;1,76711E+16;249225;739587;203
5050;9110;113788;3140;386;3663;1,7517E+16;245626;739722;202
5050;9120;113616;3,1219E+15;3861;3663;1,75178E+16;245635;739652;201
5050;9130;113619;3140;3859;3663;1,74665E+15;245636;740275;200
5050;9140;111991;3,21602E+16;3849;3807;1,47734E+15;230302;793533;199
5050;9150;19118017;1,68944E+15;4228;3353;5,454E+16;6588138;6588138;198
5050;9160;11152;3,12171E+16;384;3601;2,69932E+16;386032;1161072;197
5050;9170;112627;3,10971E+15;3849;3675;1,71067E+16;242038;764061;196
5050;9180;113213;3120;3852;3672;1,74664E+16;245635;743706;195
5050;9190;113862;3,136E+16;3855;3671;1,76207E+15;245635;73881;194
5050;9200;114112;3,14914E+16;3856;3671;1,77232E+15;249232;737456;193
5050;9210;114502;3,14667E+15;3857;3669;1,78135E+16;249235;741482;192
5050;9220;114531;3,15333E+15;3857;3668;1,78765E+16;249222;742333;191
5050;9230;114589;3,144E+16;3858;3667;1,78772E+16;249229;739948;190
5050;9240;114681;3,15257E+15;3858;3668;1,78778E+15;249235;744004;189
5050;9250;114602;3,144E+16;3857;3666;1,78775E+15;249232;74358;188
5050;9260;114413;3,14476E+16;3857;3666;1,78772E+16;249229;747376;187
5050;9270;114093;3,136E+16;3857;3667;1,77749E+16;249235;749155;186
5050;9280;113814;3,12667E+15;3857;3666;1,76721E+16;249235;74152;185
5050;9290;113719;3,13029E+15;3857;3668;1,76204E+15;245632;741741;184
5050;9300;113722;3,116E+16;3857;3668;1,76197E+16;245626;741027;183
5050;9310;113833;3,13029E+15;3857;3667;1,75692E+16;245634;745986;182
5050;9320;113772;3,12667E+15;3857;3668;1,75696E+16;245639;741155;181
5050;9330;113439;3,108E+16;3857;3667;1,75692E+16;245634;744873;180
5050;9340;113056;3100;3856;3667;1,74663E+16;245634;73950;179
5050;9350;112277;3080;3854;3667;1,74142E+15;245628;736394;178
5050;9360;111766;3,06667E+15;3853;367;1,71579E+16;242036;736094;177
5050;9370;11127;3,064E+16;3852;3671;1,70489E+15;238439;730692;176
5050;9380;110864;3,056E+16;3851;3671;1,69006E+15;238434;736269;175
5050;9390;108794;3,10396E+15;3837;3809;1,38636E+15;219802;788245;174
5050;9400;110175;3060;3845;3927;1,37636E+15;216836;77952;173
5050;9410;110569;3040;3849;3674;1,65917E+16;234831;743953;172
5050;9420;111084;3,06171E+16;3851;3674;1,66939E+16;238425;738819;171
5050;9430;111084;3,04971E+15;3852;3671;1,68234E+15;238434;737606;170
5050;9440;110628;3,04457E+16;3851;3671;1682375;238438;737481;169
5050;9450;110744;3,05333E+15;3851;3672;1,67322E+14;234822;731494;168
5050;9460;110772;3,04727E+15;3852;3672;1,67463E+16;238434;738681;167
5050;9470;111156;3,072E+16;3852;3672;1,6746E+16;238431;740519;166
5050;9480;110616;3,04457E+16;3852;367;1,68498E+15;238441;736878;165
5050;9490;110516;3,03943E+15;3852;3672;1,66939E+16;234825;73745;164
5050;9500;110541;3,04457E+16;3852;3671;1,66434E+16;234834;736481;163
5050;9510;110497;3,036E+16;3852;3671;1,66872E+16;234822;741844;162
5050;9520;110328;3,02743E+15;3852;3671;1,66431E+15;234831;73795;161
5050;9530;11035;3,02961E+16;3852;3671;1,66431E+16;234831;742141;160
5050;9540;110166;3,02229E+16;3852;3671;1664375;234838;737425;159
5050;9550;110066;3,03429E+15;3851;3671;1,65926E+16;234841;737403;158
5050;9560;110069;3020;3851;3673;1,65923E+16;234838;740241;157
5050;9570;109741;3,01172E+16;385;3672;1,6592E+16;234834;736412;156
5050;9580;109519;3,024E+16;385;3672;1,65409E+16;234838;733653;155
5050;9590;109322;3,00171E+16;3849;3673;1,64888E+16;234831;732659;154
5050;9600;108962;3,00312E+16;3848;3673;1,64377E+15;234834;732803;153
5050;9610;108628;2,98629E+15;3847;3673;1,63349E+15;231234;729138;152
5050;9620;108191;2,984E+16;3847;3674;1,62384E+15;231234;730091;151
5050;9630;106347;3,01604E+15;3833;3819;1,30234E+14;21070;790178;150
5050;9640;106928;2,96883E+16;3839;3931;1292375;209638;776728;149
5050;9650;107122;2,96416E+13;3841;368;1,57688E+16;224031;739294;148
5050;9660;107175;2,94343E+15;3843;3678;1,58717E+16;227634;730325;147
5050;9670;107462;2,96909E+16;3845;3678;1,59231E+15;227631;731519;146
5050;9680;107575;2,96104E+16;3845;3677;159675;227625;731038;145
5050;9690;107262;2,96571E+15;3845;3678;1,59231E+15;227631;728181;144
5050;9700;10755;2,968E+16;3845;3678;1,58723E+16;227638;730088;143
5050;9710;107819;2,96104E+16;3846;3676;159225;227625;73580;142
5050;9720;10820;2,97351E+15;3847;3676;1,59752E+16;227638;733625;141
5050;9730;107888;2,96104E+16;3846;3675;1610375;227638;735762;140
5050;9740;107769;2,9703E+16;3846;3675;1,60131E+15;227631;736712;139
5050;9750;10790;2,976E+16;3846;3676;1,59752E+16;227638;736869;138
